channel,pi_01,pi_10,arch,seed,mu_Se,mu_Sp,mu_avg,asym_score,kappa_Se,kappa_Sp,f_A,f_A_class0,f_A_class1,f_B,f_C,cv_acc,cv_f1,cv_recall,convergence_ok,rhat_max,ess_min
asym_FP,0.2,0.1,SVM,1,0.8004621494524999,0.7561482847925001,0.7783052171225,-0.028468179100331652,154.36254005950002,134.031792373,0.151,0.13656387665198239,0.163003663003663,0.0,0.849,0.835,0.8449556565412546,0.8241534612176814,False,,
asym_FP,0.2,0.1,SVM,2,0.7775015550250001,0.7193490438824999,0.7484252994537499,-0.038849910035172394,147.32007439874997,133.2179299635,0.159,0.14508928571428573,0.17028985507246377,0.0,0.841,0.812,0.8245895345895345,0.8007207207207208,False,,
asym_FP,0.2,0.1,SVM,3,0.8005055268825,0.7443122370274999,0.7724088819549999,-0.03637535192267409,142.699555446,138.5240089485,0.147,0.125,0.166044776119403,0.0,0.853,0.829,0.8338824945578673,0.804067151263413,False,,
asym_FP,0.2,0.1,GB,0,0.78481336911,0.6871585656074999,0.7359859673587499,-0.06634284331983485,156.75405283275,147.8833441255,0.12,0.0821917808219178,0.1494661921708185,0.0,0.88,0.7550000000000001,0.7786983027606962,0.7651706700379266,False,,
asym_FP,0.2,0.1,GB,1,0.8155258744125001,0.75787367728,0.7866997758462501,-0.03664180343374451,157.98440084,148.31318642449997,0.107,0.07929515418502203,0.13003663003663005,0.0,0.893,0.82,0.8330138745019099,0.8223519599666389,False,,
asym_FP,0.2,0.1,GB,2,0.7957510845725001,0.7420043058575,0.768877695215,-0.034951448724897353,151.11437869899999,153.631282588,0.114,0.10491071428571429,0.1213768115942029,0.0,0.886,0.782,0.7998534425336414,0.7897952497952498,False,,
asym_FP,0.2,0.1,GB,3,0.8049619056475001,0.761605961075,0.78328393336125,-0.027675752494229097,153.81368807525,153.0097010075,0.106,0.09482758620689655,0.11567164179104478,0.0,0.894,0.79,0.800315917861855,0.7872620283835238,False,,
asym_FP,0.2,0.1,MLP,0,0.843202656345,0.8149369303025,0.8290697933237501,-0.017046650507031337,165.54982947850002,158.4573081775,0.04,0.03881278538812785,0.04092526690391459,0.0,0.96,0.7369999999999999,0.7690740378294466,0.7793773704171933,False,,
asym_FP,0.2,0.1,MLP,1,0.8470430782674999,0.8239536631425,0.8354983707049999,-0.013817749932713322,166.39866822725,160.90384145250002,0.039,0.02643171806167401,0.04945054945054945,0.0,0.961,0.763,0.7799126404977869,0.7693077564637198,False,,
asym_FN,0.1,0.2,LR,0,0.6266837824425,0.6645826523049999,0.64563321737375,0.029350154866033255,143.24511647825003,146.9167793345,0.258,0.22932330827067668,0.2905982905982906,0.0,0.742,0.723,0.6909116257149529,0.662296957218028,False,,
asym_FN,0.1,0.2,LR,1,0.6899097678225,0.77755036964,0.73373006873125,0.05972264562451663,142.566418184,134.69399094674998,0.175,0.20840950639853748,0.1346578366445916,0.0,0.825,0.8089999999999999,0.7939429319656421,0.8122832722832725,False,,
asym_FN,0.1,0.2,LR,2,0.7024696963325,0.7218442625975,0.712156979465,0.013602735639796856,123.55834593699998,139.08838983375,0.194,0.17383177570093458,0.2172043010752688,0.0,0.806,0.799,0.7810425840751464,0.7720430107526882,False,,
asym_FN,0.1,0.2,LR,3,0.664705935635,0.7516477160700001,0.7081768258525001,0.06138423145162633,128.68676760225,139.24998193525,0.196,0.20603907637655416,0.18306636155606407,0.0,0.804,0.7809999999999999,0.7473555723353299,0.7460815047021943,False,,
asym_FN,0.1,0.2,RF,0,0.7903514067425,0.8085603459799999,0.79945587636125,0.011388332842701805,155.6677288385,158.37038572975004,0.01,0.011278195488721804,0.008547008547008548,0.0,0.99,0.8089999999999999,0.7924748302214462,0.7819263326469915,False,,
asym_FN,0.1,0.2,RF,1,0.8002067613749999,0.84395026205,0.8220785117125,0.02660542759916634,159.50564872475,160.20177420775,0.011,0.009140767824497258,0.013245033112582781,0.0,0.989,0.8320000000000001,0.820289874167722,0.8474969474969475,False,,
asym_FN,0.1,0.2,RF,2,0.8008892651874999,0.829020390955,0.81495482807125,0.01725931596529012,152.87220032449997,157.80882406900002,0.015,0.018691588785046728,0.010752688172043012,0.0,0.985,0.8099999999999999,0.7961690813564013,0.8,False,,
asym_FN,0.1,0.2,RF,3,0.7863956718775,0.837052227215,0.81172394954625,0.031203068071734074,150.19376583475002,154.375841256,0.015,0.015985790408525755,0.013729977116704805,0.0,0.985,0.8110000000000002,0.7847714867536643,0.7918495297805642,False,,
asym_FN,0.1,0.2,SVM,0,0.7330874584725,0.7537447504249999,0.74341610444875,0.0138934923624798,143.07878365050001,155.05771301549998,0.162,0.15601503759398497,0.16880341880341881,0.0,0.838,0.818,0.8049000373141618,0.8033401967513155,False,,
asym_FN,0.1,0.2,SVM,1,0.7311183929775,0.8160667653025,0.77359257914,0.05490511062330228,155.2109430125,138.79380246749997,0.15,0.18281535648994515,0.11037527593818984,0.0,0.85,0.8400000000000001,0.8332356689619145,0.8828327228327228,False,,
asym_FN,0.1,0.2,SVM,2,0.7519092806200001,0.7824752863,0.76719228346,0.0199206941460803,138.793322552,139.68785936474998,0.151,0.14953271028037382,0.15268817204301074,0.0,0.849,0.817,0.8069876044876045,0.8236559139784946,False,,
asym_FN,0.1,0.2,SVM,3,0.7135920744550001,0.7905594323025,0.7520757533787501,0.05116995026800762,137.007966877,137.87217202125,0.16,0.17939609236234458,0.13501144164759726,0.0,0.84,0.82,0.802321115375584,0.8375653082549634,False,,
asym_FN,0.1,0.2,GB,0,0.7422488082775,0.751399933295,0.74682437078625,0.006126691474823676,143.922464907,157.78245628099998,0.107,0.08646616541353383,0.13034188034188035,0.0,0.893,0.772,0.7471877615644669,0.7221917181423015,False,,
asym_FN,0.1,0.2,GB,1,0.7596093245975001,0.816180880955,0.78789510277625,0.035900436569704694,149.41672685700001,156.67018160075003,0.11,0.1206581352833638,0.09713024282560706,0.0,0.89,0.8149999999999998,0.7999364582976511,0.8166300366300365,False,,
asym_FN,0.1,0.2,GB,2,0.7616716072699999,0.806228156405,0.7839498818374999,0.02841798317651761,133.27635003025,147.43029186500002,0.116,0.13457943925233645,0.09462365591397849,0.0,0.884,0.8049999999999999,0.7904399453305477,0.7956989247311828,False,,
asym_FN,0.1,0.2,GB,3,0.72696301918,0.805299391745,0.7661312054625,0.05112464546238205,146.851048468,152.44518626649997,0.115,0.14031971580817051,0.08237986270022883,0.0,0.885,0.78,0.7480488979173374,0.7483281086729363,False,,
asym_FN,0.1,0.2,MLP,0,0.8235258887025001,0.8366940672225001,0.8301099779625001,0.007931586694325485,158.90784056975,165.85828589325,0.048,0.045112781954887216,0.05128205128205128,0.0,0.952,0.75,0.7316599263219385,0.7286204529855869,False,,
asym_FN,0.1,0.2,MLP,1,0.8298851939124999,0.8457502893925,0.8378177416524999,0.009468106654819602,164.40788491425,166.22345477925,0.041,0.03290676416819013,0.05077262693156733,0.0,0.959,0.79,0.7689276577580132,0.7726007326007325,False,,
asym_strong,0.3,0.05,LR,0,0.758987366755,0.5483019992975,0.65364468302625,-0.16116199884079602,148.42378451275,135.57621716575,0.268,0.2737430167597765,0.26479750778816197,0.0,0.732,0.7069999999999999,0.7853455455823336,0.8348958333333334,False,,
asym_strong,0.3,0.05,LR,1,0.7848398527325,0.6423788550925,0.7136093539125,-0.09981721565105126,147.18706743525001,133.41910417975004,0.191,0.1514360313315927,0.21555915721231766,0.0,0.8089999999999999,0.7769999999999999,0.8187641482522638,0.8169158143194334,False,,
asym_strong,0.3,0.05,LR,2,0.7884070571725001,0.580320599855,0.6843638285137501,-0.15202911703952676,141.62626123824998,136.19863584,0.221,0.14917127071823205,0.2617554858934169,0.0,0.779,0.736,0.7958348576220395,0.8071358267716535,False,,
asym_strong,0.3,0.05,LR,3,0.7862279921625001,0.6231405793275001,0.7046842857450001,-0.11571665213654186,144.82201373775,122.7895557805,0.203,0.15938303341902313,0.23076923076923078,0.0,0.7969999999999999,0.767,0.8106046120389229,0.8150073304011729,False,,
asym_strong,0.3,0.05,RF,0,0.8468760344224999,0.7476809215475,0.797278477985,-0.06220857300920245,157.06444371099997,139.6858787695,0.007,0.013966480446927373,0.003115264797507788,0.0,0.993,0.7689999999999999,0.8233779327959152,0.8395227713178295,False,,
asym_strong,0.3,0.05,RF,1,0.8543286943149999,0.7689299094125001,0.8116293018637499,-0.05260947618191492,165.79682382049998,157.16856176349998,0.007,0.0026109660574412533,0.009724473257698542,0.0,0.993,0.7829999999999999,0.8193125632126922,0.7974429583005507,False,,
asym_strong,0.3,0.05,RF,2,0.8592817405525,0.7609560826099999,0.8101189115812499,-0.06068594157979525,162.82935955300002,148.0801402795,0.007,0.013812154696132596,0.003134796238244514,0.0,0.993,0.774,0.8190692682844336,0.803986220472441,False,,
asym_strong,0.3,0.05,RF,3,0.8605334667750001,0.77616678542,0.8183501260975,-0.051546812674042215,158.99673849700002,147.88405706199998,0.011,0.017994858611825194,0.006546644844517185,0.0,0.989,0.791,0.8252323053051651,0.806850593096095,False,,
asym_strong,0.3,0.05,SVM,0,0.8126825940875,0.6389158011950001,0.7257991976412501,-0.11970720919609126,147.0547543545,132.66730838725,0.174,0.12011173184357542,0.20404984423676012,0.0,0.8260000000000001,0.783,0.8212305567706265,0.7788396317829458,False,,
asym_strong,0.3,0.05,SVM,1,0.8160052750924999,0.67572030539,0.74586279024125,-0.09404207546208494,154.93665827575,138.70261468774999,0.168,0.10704960835509138,0.20583468395461912,0.0,0.832,0.812,0.8353969431691393,0.7731445056386047,False,,
asym_strong,0.3,0.05,SVM,2,0.8129152564400001,0.6576950970125001,0.7353051767262501,-0.10554812085849047,151.279781282,124.287551046,0.165,0.12154696132596685,0.1896551724137931,0.0,0.835,0.777,0.8159731553029553,0.7758120078740157,False,,
asym_strong,0.3,0.05,SVM,3,0.8324073416825002,0.69291327019,0.7626603059362501,-0.09145229554710035,147.29086284825,129.47754304725,0.161,0.11825192802056556,0.18821603927986907,0.0,0.839,0.817,0.8408506678603089,0.7920964947354392,False,,
asym_strong,0.3,0.05,GB,0,0.8246432598199999,0.64406140041,0.7343523301149999,-0.12295314652216564,154.8819263245,142.94859154275002,0.106,0.05865921787709497,0.13239875389408098,0.0,0.894,0.7379999999999999,0.8005048205143261,0.8192587209302327,False,,
asym_strong,0.3,0.05,GB,1,0.8395299344625,0.7037234570174999,0.77162669574,-0.08800011592831154,162.08200190325,146.604896312,0.122,0.07049608355091384,0.1539708265802269,0.0,0.878,0.78,0.819492204839916,0.8104642014162076,False,,
asym_strong,0.3,0.05,GB,2,0.83405017213,0.6914830157199999,0.7627665939249999,-0.0934539854340843,156.73526080649998,141.3208382345,0.113,0.07458563535911603,0.13479623824451412,0.0,0.887,0.756,0.8083424216220194,0.8086737204724409,False,,
asym_strong,0.3,0.05,GB,3,0.8266030011650001,0.7112411137300001,0.7689220574475001,-0.07501533233611343,157.719932749,142.9945280785,0.113,0.07197943444730077,0.13911620294599017,0.0,0.887,0.786,0.8228176852712247,0.8133679861388778,False,,
asym_strong,0.3,0.05,MLP,0,0.8564199004449999,0.7942933863,0.8253566433724999,-0.03763616286742895,169.17912027000003,147.560766389,0.038,0.0335195530726257,0.040498442367601244,0.0,0.962,0.738,0.7925823001565412,0.7804263565891473,False,,
asym_strong,0.3,0.05,MLP,1,0.856420184435,0.796034026585,0.82622710551,-0.03654331685002183,169.778053291,152.95286641374997,0.037,0.015665796344647518,0.050243111831442464,0.0,0.963,0.742,0.7870142793328647,0.7731182795698925,False,,
