class_sep,flip_y,seed,E1,E2,E4,E5,E1_err,E2_err,E4_err,E5_err,type_C_frac
1.0,0.1,2,0.212,0.20999996125616338,0.008,0.1298,0.11199999999999999,0.10999996125616338,0.092,0.029799999999999993,0.786
1.0,0.1,3,0.191,0.18699997542242014,0.005,0.11599999999999999,0.091,0.08699997542242013,0.095,0.015999999999999986,0.808
1.0,0.1,4,0.207,0.20236800072569205,0.007,0.1246,0.10699999999999998,0.10236800072569205,0.093,0.024599999999999997,0.792
1.0,0.1,5,0.16,0.1570039109315225,0.005,0.0968,0.06,0.05700391093152249,0.095,0.0032000000000000084,0.84
1.0,0.15,0,0.307,0.2942463231140793,0.017,0.188,0.157,0.14424632311407928,0.133,0.038000000000000006,0.689
1.0,0.15,1,0.161,0.15399999287351193,0.009,0.09720000000000001,0.01100000000000001,0.003999992873511937,0.141,0.052799999999999986,0.838
1.0,0.15,2,0.225,0.21797921940819318,0.007,0.13419999999999999,0.07500000000000001,0.06797921940819318,0.143,0.01580000000000001,0.773
1.0,0.15,3,0.219,0.21400082154194072,0.007,0.1324,0.069,0.06400082154194073,0.143,0.017600000000000005,0.778
1.0,0.15,4,0.229,0.2240000018271096,0.007,0.1372,0.07900000000000001,0.07400000182710961,0.143,0.012800000000000006,0.771
1.0,0.15,5,0.188,0.1839999999600259,0.009,0.114,0.038000000000000006,0.033999999960025895,0.141,0.03599999999999999,0.81
1.0,0.2,0,0.323,0.30300012738053556,0.027,0.1956,0.123,0.10300012738053554,0.17300000000000001,0.004400000000000015,0.677
1.0,0.2,1,0.18,0.1760000025593727,0.007,0.10899999999999999,0.020000000000000018,0.023999997440627308,0.193,0.09100000000000003,0.82
1.0,0.2,2,0.241,0.23599999129324806,0.009,0.147,0.04099999999999998,0.035999991293248046,0.191,0.05300000000000002,0.756
1.0,0.2,3,0.228,0.2204443574402768,0.008,0.137,0.027999999999999997,0.020444357440276784,0.192,0.063,0.771
1.0,0.2,4,0.264,0.2559842184024977,0.015,0.1596,0.064,0.055984218402497676,0.185,0.04040000000000002,0.734
1.0,0.2,5,0.218,0.21000016947796962,0.013,0.133,0.017999999999999988,0.010000169477969612,0.187,0.067,0.779
1.0,0.25,0,0.335,0.31998059304225024,0.016,0.20199999999999999,0.08500000000000002,0.06998059304225024,0.23399999999999999,0.048000000000000015,0.663
1.0,0.25,1,0.208,0.20399999812025937,0.007,0.1258,0.04200000000000001,0.046000001879740626,0.243,0.1242,0.792
1.0,0.25,2,0.257,0.24701150949256856,0.016,0.15699999999999997,0.007000000000000006,0.0029884905074314405,0.23399999999999999,0.09300000000000003,0.74
1.0,0.25,3,0.256,0.24799988943182663,0.009,0.1548,0.006000000000000005,0.002000110568173369,0.241,0.0952,0.742
1.0,0.25,4,0.26,0.25100003269656046,0.011,0.1556,0.010000000000000009,0.00100003269656046,0.239,0.09440000000000001,0.737
1.0,0.25,5,0.214,0.20901518291349397,0.012,0.1314,0.036000000000000004,0.04098481708650603,0.238,0.11860000000000001,0.785
1.0,0.3,0,0.343,0.33140904087562145,0.024,0.21,0.04300000000000004,0.03140904087562146,0.27599999999999997,0.09,0.656
1.0,0.3,1,0.238,0.23100000702829943,0.006,0.14220000000000002,0.062,0.06899999297170056,0.294,0.15779999999999997,0.762
1.0,0.3,2,0.278,0.27199616208060784,0.013,0.169,0.021999999999999964,0.02800383791939215,0.287,0.13099999999999998,0.72
1.0,0.3,3,0.282,0.27903125188699407,0.013,0.17320000000000002,0.018000000000000016,0.02096874811300592,0.287,0.12679999999999997,0.717
1.0,0.3,4,0.29,0.28000001787729234,0.011,0.17359999999999998,0.010000000000000009,0.01999998212270765,0.289,0.1264,0.709
1.0,0.3,5,0.26,0.25399999402134177,0.012,0.1572,0.03999999999999998,0.04600000597865822,0.288,0.14279999999999998,0.738
1.0,0.35,0,0.37,0.3539929250229128,0.028,0.2254,0.020000000000000018,0.003992925022912819,0.32199999999999995,0.12459999999999999,0.627
1.0,0.35,1,0.233,0.23099998510790024,0.005,0.1412,0.11699999999999997,0.11900001489209974,0.345,0.20879999999999999,0.767
