sep,B,flip_y,seed,E1_err,E2_err,E4_err,E5_err,mu_Se_std
1.0,25,0.3,3,0.294,0.2940000008744439,0.299,0.296,0.00819477274301912
1.0,25,0.3,4,0.295,0.2959514831743913,0.299,0.2978,0.007980565133792222
1.0,25,0.4,0,0.399,0.3989130561510759,0.4,0.39940000000000003,0.008503234249246447
1.0,25,0.4,1,0.389,0.38952862686688006,0.396,0.3936,0.007988493805528346
1.0,25,0.4,2,0.392,0.39156489757123575,0.396,0.39540000000000003,0.008082808740733395
1.0,25,0.4,3,0.39,0.39099621324567063,0.396,0.393,0.008456468014422684
1.0,25,0.4,4,0.395,0.39559365280611836,0.398,0.398,0.008664558633497238
1.0,50,0.1,0,0.097,0.0967391696444449,0.099,0.09780000000000001,0.003907455814243099
1.0,50,0.1,1,0.096,0.09599999767113628,0.1,0.0976,0.003633852115434294
1.0,50,0.1,2,0.095,0.09500000268378538,0.1,0.097,0.0037963123273164197
1.0,50,0.1,3,0.094,0.09399999792256321,0.1,0.0964,0.0035990104049708756
1.0,50,0.1,4,0.096,0.09565212851365544,0.1,0.0976,0.0038232383444495362
1.0,50,0.2,0,0.197,0.19755270772000486,0.199,0.19840000000000002,0.004028321043576417
1.0,50,0.2,1,0.196,0.19599999878338903,0.199,0.19720000000000001,0.0038289875379818655
1.0,50,0.2,2,0.191,0.19100000269132825,0.2,0.19460000000000002,0.003993592631501401
1.0,50,0.2,3,0.194,0.19499999924043038,0.198,0.1962,0.003809127596012441
1.0,50,0.2,4,0.196,0.19565204279798548,0.199,0.19720000000000001,0.004121480572359603
1.0,50,0.3,0,0.299,0.3,0.3,0.2994,0.004299227075143716
1.0,50,0.3,1,0.299,0.3,0.3,0.2994,0.004071466531276756
1.0,50,0.3,2,0.295,0.294564852551598,0.299,0.2966,0.004126839560421473
1.0,50,0.3,3,0.297,0.2967391679641771,0.3,0.29819999999999997,0.004206966256967155
1.0,50,0.3,4,0.298,0.298000000839264,0.3,0.2988,0.004305009053382555
1.0,50,0.4,0,0.4,0.4,0.4,0.4,0.004258474652318575
1.0,50,0.4,1,0.397,0.3969999991424494,0.398,0.39740000000000003,0.004034329271335144
1.0,50,0.4,2,0.396,0.395652226642119,0.4,0.3976,0.004088427942068657
1.0,50,0.4,3,0.397,0.39673900223428,0.4,0.3982,0.004221644237257767
1.0,50,0.4,4,0.4,0.4,0.4,0.4,0.0043716156734920665
1.0,75,0.1,0,0.099,0.1,0.1,0.0994,0.0026222897816462858
1.0,75,0.1,1,0.095,0.09555664880148297,0.099,0.09720000000000001,0.0024975963183035844
1.0,75,0.1,2,0.093,0.09280056193413465,0.098,0.095,0.0025048472131621717
1.0,75,0.1,3,0.095,0.09500000014891193,0.1,0.097,0.002549397768316676
1.0,75,0.1,4,0.096,0.09565219241821898,0.099,0.09720000000000001,0.0026110677295138607
1.0,75,0.2,0,0.197,0.19781655715734883,0.2,0.1988,0.002817442077224583
1.0,75,0.2,1,0.196,0.19565222897842582,0.2,0.1976,0.002656840399083851
1.0,75,0.2,2,0.193,0.19399999912924867,0.199,0.19540000000000002,0.002799590864782308
1.0,75,0.2,3,0.195,0.19600000224435335,0.2,0.1976,0.002668397883703211
1.0,75,0.2,4,0.199,0.2,0.2,0.19940000000000002,0.00286920100526745
1.0,75,0.3,0,0.3,0.3,0.3,0.3,0.002922618706181016
1.0,75,0.3,1,0.297,0.2978046949058903,0.299,0.299,0.002869303645588005
1.0,75,0.3,2,0.294,0.29400000267276627,0.3,0.2964,0.002856407492106453
1.0,75,0.3,3,0.296,0.2967288280043047,0.3,0.29819999999999997,0.002930148220421541
1.0,75,0.3,4,0.298,0.3,0.3,0.2988,0.003046138635343731
1.0,75,0.4,0,0.4,0.4,0.4,0.4,0.0029695070503196344
1.0,75,0.4,1,0.398,0.3978258805813592,0.4,0.39880000000000004,0.002839921280752497
1.0,75,0.4,2,0.397,0.3970000003923974,0.4,0.3982,0.0029253608648502354
1.0,75,0.4,3,0.397,0.3977478778634377,0.399,0.39840000000000003,0.0028557176690859713
1.0,75,0.4,4,0.398,0.4,0.399,0.399,0.002984106979188936
1.0,100,0.1,0,0.098,0.09800000003599799,0.1,0.0988,0.0019925479465747182
1.0,100,0.1,1,0.098,0.09782611325873139,0.1,0.0988,0.0019896997807323925
1.0,100,0.1,2,0.095,0.09500000287625351,0.1,0.097,0.0020240209503679836
1.0,100,0.1,3,0.096,0.09564476135917323,0.1,0.0976,0.001980538067112072
1.0,100,0.1,4,0.096,0.09600000029597103,0.1,0.0976,0.0020202467988172405
1.0,100,0.2,0,0.197,0.19673917493802126,0.2,0.19820000000000002,0.002307364430555431
1.0,100,0.2,1,0.199,0.19899999967362164,0.2,0.19940000000000002,0.0020868045830941223
1.0,100,0.2,2,0.192,0.1930000013217377,0.199,0.1948,0.0020787247076886448
1.0,100,0.2,3,0.192,0.19199999736837506,0.2,0.1952,0.0021128669653171055
